OpenMP Param1 2.916425 0.1
OpenMP Param2 8.434525 0.2
OpenMP Param3 8.445337 0.12
Seq+O3 Param1 7.668021 0.46
Seq+O3 Param2 31.594860 0.236 
Seq+O3 Param3 31.627110 0.34
OCL Param1 1.075262 0.1
OCL Param2 3.444029 0.3
OCL Param3 3.455369 0.2
OCL+GPU Param1 0.34 0.013
OCL+GPU Param2 0.50 0.002
OCL+GPU Param3 0.49 0.010
